	GSM852923	GSM852924	GSM852925	GSM852926	GSM852927	GSM852928	GSM852929	GSM852930	GSM852931	GSM852932	GSM852933	GSM852934	GSM852935	GSM852936	GSM852937	GSM852938	GSM852939	GSM852940	GSM852941	GSM852942	GSM852943	GSM852944	GSM852945	GSM852946	GSM852947	GSM852948	GSM852949
267625_at	272.3	201.7	157.4	217.2	238.4	366.2	220.3	134.9	184.2	126.2	255.6	162.7	237.1	157.9	137	259.1	146.4	127.6	154.4	177.1	158.8	155.9	204.4	178.5	162.5	217.8	223.4
267626_at	89	122.5	158.9	99.3	81.1	98.2	73.2	81.8	88.3	93.3	93.4	72.5	81.7	62.8	77.2	70.8	56.5	64.1	36.3	38.3	68.7	72.4	61.3	80.9	63	75.4	46.4
267627_at	155.4	260.1	168.4	196.4	146.4	143.1	142.8	129.4	132.5	109.4	170.6	123.5	166.8	177	74.5	221.3	142.1	108.1	144.3	150.2	144.2	109.4	283.2	142.8	139.6	133.4	234.2
267628_at	173	155.4	115.8	179.2	139.8	128.4	151.7	169	178.9	160.2	103.6	143.1	209.6	224.7	127.3	208.7	192.4	238.7	166.5	191.2	230	244.9	216.7	264.1	246.3	78.2	258.7
267629_at	191.2	154.8	203.9	201.4	181.8	280.9	175.3	224.6	203.5	169.7	188	178	222.9	212.2	212.2	153.4	180.4	166.9	110.1	160.2	232.2	174.8	122.5	130	227.1	156.4	152.3
267630_at	953.3	1033.5	1025.7	851.6	692.9	1285.4	1135.1	1014.8	1269.9	983.3	809.9	953	1414.1	1450.2	1328.6	1341.2	1055.1	855.7	1057.5	942	1418.6	1192.6	963	1182.4	1016.9	1085.3	1125.6
267631_at	125.4	92.2	167.2	107.2	119.7	82.6	105.2	80.9	85.4	84.2	112.9	85.5	51.6	95.2	101.3	120.9	100.2	73.7	74.1	76.3	65.4	73	63.9	81.9	73.5	56.3	39.8
267632_at	205.5	173.8	170.2	194.1	254.6	121.5	165.7	184.5	194.2	167.7	223.5	168.9	160.2	205.2	151.1	216	184.9	163.1	191.8	249.6	178.8	152.4	189.8	170	228.7	197.7	206.3
267633_at	6.8	12.2	31	2.7	1.5	20.7	1.9	2.7	3.2	2	7.5	4.2	3.4	8.5	2.2	4.5	3.2	1.8	23.9	9.1	26.7	6.4	2.4	8.4	2.9	7.5	1.4
267634_at	6.9	7.8	41.8	63.7	29.8	25	2.2	4.5	36.7	18.1	6.3	5.4	52.9	4.1	4.4	24.9	5.5	8.9	3.3	4.4	24.2	12.4	29	40.9	34.4	9.9	22.6
267635_at	4779.5	5298.8	7830.2	4539.6	2426.9	7882.8	7109.1	4078.1	6916.5	5934.4	3852.8	6155.7	3134.5	3864.6	5878.1	3524.7	2677.8	1219	2358.6	1778.2	3660.8	5010.5	2799	1461.3	1706	4172.7	1592
267636_at	9.4	2.4	21.9	11.5	6	23.1	22.2	9.7	3.4	5.8	6.9	6.3	10.4	24.8	6.7	40	5.9	2.3	5.6	7.2	6.7	9.2	6.2	6.8	7.5	4.8	4.6
267637_at	604.5	573.4	600.8	433.4	278.9	714.5	936.1	593.2	915.2	586.8	445.9	505.6	406	436.4	293.4	293.2	277.3	433.8	420.3	226.7	362.6	319.2	169.2	339.3	342.7	326.9	485.9
267638_at	3331.8	4229.8	5782.9	3253.1	3651.1	3589.5	3675.3	4515.2	3185.5	3565.8	3536.1	3486.2	3045.7	3196.1	3784.7	3615.4	4018.1	4119.3	4010.2	3606.2	4932.5	4573.2	3129.9	3780	4002.8	3215.6	2815.5
267639_at	229.6	249.9	197.9	223.7	103.8	165.1	206.8	121.6	221.8	92.9	96.2	99.6	125.8	81.3	68.5	56.4	70.7	37.1	101.7	41.4	99.6	88.2	72.1	49.5	50.8	79.5	28.8
267640_at	563.2	725	820.5	625.4	488.5	586.4	532.5	608.5	541.7	521.6	343.3	548.1	397.2	457.4	386.6	362.9	557.4	576.5	373.9	359.3	493.2	370.6	404.8	458.6	507.8	506.3	466.7
267641_at	16.4	60.8	6.8	67.7	43.8	30.1	3.3	22.7	43.8	25.3	42.2	23.4	48.8	37	46.6	62.5	31.1	16	18.1	13	45.5	22.2	33.6	36.3	38.4	17.9	31.2
267642_at	564	533.2	487.2	534.1	596	531.7	510.1	667.3	450	623.2	563.2	552.2	641.6	609.1	470.3	593.3	589	627.3	603.2	622	490.8	506.4	645.4	484.7	608.2	547.3	769.9
267643_at	73.1	110.9	101.3	119.2	90.8	129.2	62.1	75.8	57.8	63.6	49.3	67.9	34.1	51.6	87.9	21.4	76.2	93.4	71.1	50.7	40.6	95.1	50.6	79.4	39.9	54.5	20.3
267644_s_at	356.3	720.2	567.9	396.5	437.9	690.5	1074.8	666.9	1435.6	1184.8	811.1	999.2	604.6	831.2	1293.1	1314.2	750.2	790.1	560.7	1097.2	889.8	1157.5	943	573.1	731.7	1285.9	798.4
267645_at	275.7	1007.3	251.2	499.9	432.5	585.1	613.9	378.3	652	757.7	421.4	452.7	645.3	640.9	604.8	1018.8	202.5	327.5	394.6	593.6	644.7	496.4	351.6	422.1	387.5	319.2	674.2
267646_at	186	143.5	130.4	121	156.6	37.1	73.5	118.3	35.9	113.5	99.7	70.1	41	53.3	42.8	47.8	15.4	48.2	79	49.8	15.3	56.7	59.7	71.4	93.1	31	35.8
267593_at	11.5	13.8	32.1	17.3	3.7	22.6	17.1	3.8	14.8	15.2	14.4	13.7	18.1	2.5	2.3	1.5	18.1	17.7	7.9	4	2.3	16.8	1.8	6.4	19.1	14.8	8.7
267594_at	34.6	76.8	33.2	49.4	55	57.4	56.2	58.2	32.7	17.7	76	95.6	72.8	49	47.3	63.5	35.5	31.8	25.8	33.6	40.3	45.1	43.8	19.1	38.2	45.9	27.5
267595_at	240.5	302.2	265.7	106.1	103.7	281.9	227.8	108.9	307.5	122.1	64.2	89.9	88.9	88.1	71.2	136.5	221	72.2	90.2	57.7	53.3	57.9	73.7	56.9	56.6	37.4	100.3
267596_s_at	366.2	477.7	336.6	509.5	252.3	565.4	427.8	364.1	401.1	360.1	221.6	407.7	341.1	419.1	163.1	374.6	226.6	345.6	238.4	200.6	500.1	227.2	142.5	144.7	494.6	275.1	304.3
267597_at	47.6	59.9	96.4	91.1	96.5	63	58.4	41.5	46.9	46.6	38.9	54	54.9	17.1	10	84.4	78.1	60.3	70.1	59.8	36.8	65.1	54.4	85.4	77.2	53.8	49.2
267598_at	10.9	10.8	16.5	39.4	14.7	13.3	48.7	25.4	9.2	10	55.9	7.2	46	8.5	29.6	11.8	10	8	6.9	21.8	9.8	6.2	8.8	11.4	10.4	7.1	5.8
