ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
248775_at	0.0000097	4.27E-10	-9.442795	12.725059	2.47429534	CCR4	serine/threonine-protein kinase-like protein CCR4
250575_at	0.0002451	3.52E-08	-7.57354063	8.740007	2.47319093	AT5G08240	hypothetical protein
245375_at	0.0002451	4.24E-08	-7.49827988	8.568343	2.46127005	AT4G17660	protein kinase family protein
248332_at	0.0002451	6.05E-08	-7.3566755	8.243108	2.44093371	HSP90.1	heat shock protein 90.1
249983_at	0.0002451	6.10E-08	-7.35280472	8.234177	2.20630641	AT5G18470	curculin-like (mannose-binding) lectin family protein
252131_at	0.0002451	6.47E-08	-7.32969029	8.180799	2.147797	BCS1	cytochrome BC1 synthesis
264580_at	0.0002523	7.77E-08	-7.25686471	8.012124	2.07803377	AT1G05340	hypothetical protein
266017_at	0.0002797	9.85E-08	-7.16316878	7.794004	1.99519283	AT2G18690	hypothetical protein
258063_at	0.0003581	1.55E-07	-6.98369961	7.372796	1.94841143	CYP72A8	"cytochrome P450, family 72, subfamily A, polypeptide 8"
267300_at	0.0003581	1.58E-07	-6.97840068	7.360293	1.82890327	AT2G30140	UDP-glycosyltransferase 87A2
245840_at	0.0003671	1.78E-07	-6.93138101	7.249179	1.81839958	AT1G58420	hypothetical protein
248085_at	0.0003794	2.00E-07	6.88456366	7.13825	1.77812941	SVL1	putative glycerophosphoryl diester phosphodiesterase 1
265656_at	0.0004294	2.59E-07	6.7846946	6.900655	1.75289749	AT2G13820	Non-specific lipid-transfer protein-like protein
254255_at	0.0004294	2.64E-07	-6.77650429	6.881112	1.74095214	CRK14	cysteine-rich receptor-like protein kinase 14
253268_s_at	0.0004358	3.13E-07	-6.71182887	6.726489	1.72557599	UGT73B2///UGT73B3	UDP-glucosyltransferase 73B2///UDP-glucosyl transferase 73B3
254244_at	0.0004358	3.33E-07	-6.68746347	6.668099	1.71583052	CRK15	cysteine-rich receptor-like protein kinase 15
248322_at	0.0004358	3.35E-07	-6.6851636	6.662584	1.71580999	AT5G52760	copper transport family protein
250994_at	0.0004358	3.60E-07	-6.6571625	6.595381	1.70807772	AT5G02490	heat shock protein 70
259852_at	0.0004358	3.64E-07	-6.65255558	6.584315	1.69344082	ERO1	endoplasmic oxidoreductin-1
264756_at	0.000447	3.93E-07	-6.62300778	6.513278	1.68693319	AT1G61370	S-locus lectin protein kinase family protein
261005_at	0.0005023	4.64E-07	-6.55929935	6.359748	1.67108795	AT1G26420	FAD-binding and BBE domain-containing protein
267624_at	0.0005824	5.64E-07	-6.48465928	6.179251	1.66279486	BIK1	serine/threonine-protein kinase BIK1
254231_at	0.0006138	6.43E-07	-6.43397614	6.056312	1.66020639	WRKY53	putative WRKY transcription factor 53
254215_at	0.0006138	6.48E-07	-6.43119863	6.049566	1.64232556	CHX17	cation/H(+) antiporter 17
264434_at	0.0006207	6.92E-07	-6.4060406	5.988424	1.63831781	AT1G10340	ankyrin repeat-containing protein
253147_at	0.0006207	7.10E-07	-6.39632202	5.964785	1.62923679	CONNEXIN 32	putative serine/threonine-protein kinase Cx32
253181_at	0.0006386	7.59E-07	-6.37106324	5.903296	1.62481561	LHT7	LYS/HIS transporter 7
258277_at	0.0006827	8.41E-07	-6.33170229	5.807336	1.61383038	PAD3	protein PHYTOALEXIN DEFICIENT 3
255319_at	0.0007078	9.03E-07	-6.30460877	5.741182	1.6094638	RLP46	receptor like protein 46
253617_at	0.000759	1.00E-06	6.26510013	5.644572	1.60413977	AT4G30410	protein IBH1-LIKE 1
257623_at	0.0007594	1.06E-06	-6.24521208	5.595876	1.5985264	CYP71B23	cytochrome P450 71B23
261526_at	0.0007594	1.07E-06	-6.24039272	5.584069	1.58956504	APK2A	protein kinase 2A
260239_at	0.0007602	1.10E-06	-6.2282815	5.554388	1.58464663	AT1G74360	putative LRR receptor-like serine/threonine-protein kinase
266247_at	0.000844	1.26E-06	-6.17727807	5.429223	1.57856619	AT2G27660	cysteine/histidine-rich C1 domain-containing protein
266780_at	0.0008567	1.38E-06	-6.14314686	5.345313	1.57119258	GLR2.8	glutamate receptor 2.8
252143_at	0.0008567	1.42E-06	6.13237547	5.318807	1.56651867	AT3G51150	ATP binding microtubule motor family protein
248083_at	0.0008567	1.46E-06	-6.12322514	5.296282	1.56204075	AT5G55420	pseudo
266588_at	0.0008567	1.48E-06	6.11629708	5.279221	1.55742924	AGP9	arabinogalactan protein 9
250415_at	0.0008567	1.50E-06	-6.11126378	5.266823	1.55408691	GLR2.5	glutamate receptor 2.5
255543_at	0.0008567	1.51E-06	-6.11008836	5.263928	1.54938944	AT4G01870	tolB-related protein
262228_at	0.0008692	1.57E-06	-6.09526985	5.227411	1.53727051	AT1G68690	proline-rich receptor-like protein kinase PERK9
246214_at	0.0009438	1.76E-06	-6.05227684	5.121344	1.53342045	CPuORF49///HSF4	uncharacerized protein///heat stress transcription factor B-1
256366_at	0.0009438	1.79E-06	-6.04618109	5.106291	1.519589	AT1G66880	serine/threonine protein kinase
261825_at	0.001	1.99E-06	6.0050311	5.00458	1.51873946	XTH8	probable xyloglucan endotransglucosylase/hydrolase protein 8
254387_at	0.001	2.00E-06	-6.0027059	4.998828	1.50854842	MSRB9	methionine sulfoxide reductase B9
249188_at	0.001	2.02E-06	-5.99890851	4.989433	1.50429393	AT5G42830	HXXXD-type acyl-transferase-like protein
267546_at	0.0010096	2.09E-06	-5.98721996	4.960507	1.48770287	RLP23	receptor like protein 23
247429_at	0.0010161	2.17E-06	-5.97256477	4.924221	1.48618866	AT5G62620	"putative beta-1,3-galactosyltransferase"
249494_at	0.0010161	2.23E-06	-5.96321404	4.901059	1.48076458	AT5G39050	phenolic glucoside malonyltransferase 1
265499_at	0.0010161	2.27E-06	-5.95507179	4.880883	1.47770021	UGT73B5	UDP-glucosyl transferase 73B5
249988_at	0.0010161	2.28E-06	-5.95405195	4.878356	1.47764156	AT5G18310	hypothetical protein
249896_at	0.0010443	2.43E-06	-5.93072388	4.820517	1.47207303	AT5G22530	hypothetical protein
260706_at	0.0010443	2.47E-06	-5.92424518	4.804445	1.47121054	AOX1D	alternative oxidase 1D
245329_at	0.0010443	2.53E-06	-5.91501684	4.781546	1.46619796	XBAT34	putative E3 ubiquitin-protein ligase XBAT34
253736_at	0.0010443	2.55E-06	5.91153925	4.772914	1.46172129	AT4G28780	GDSL esterase/lipase
249550_at	0.0010443	2.57E-06	-5.90855142	4.765498	1.45967623	AT5G38210	protein kinase family protein
248045_at	0.0010734	2.69E-06	-5.89158463	4.723368	1.45676735	HSP81-2	heat shock protein 81-2
257466_at	0.0010818	2.80E-06	-5.87647932	4.685838	1.45496087	AT1G62840	hypothetical protein
249393_at	0.0010818	2.81E-06	-5.87569924	4.6839	1.45079544	RLP54	receptor like protein 54
250289_at	0.0010844	2.91E-06	-5.86286098	4.651987	1.41779305	AT5G13190	GSH-induced LITAF domain protein
248134_at	0.0010844	2.91E-06	-5.86228113	4.650545	1.41767156	AT5G54860	probable folate-biopterin transporter 4
258589_at	0.0011558	3.15E-06	5.83224201	4.57582	1.41389959	LTL1	Li-tolerant lipase 1
263948_at	0.0012064	3.34E-06	-5.81015975	4.52084	1.41082338	YLS9	protein NDR1/HIN1-like 10
255340_at	0.0012117	3.41E-06	-5.8026259	4.502074	1.4072197	CRK36	cysteine-rich receptor-like protein kinase 36
252053_at	0.0012222	3.50E-06	-5.79290968	4.477864	1.40511206	SYP122	syntaxin-122
262408_at	0.0012222	3.55E-06	-5.78785519	4.465267	1.40230296	AT1G34750	putative protein phosphatase 2C 10
247054_at	0.0012512	3.69E-06	-5.77345368	4.429364	1.40034319	AT5G66730	C2H2-like zinc finger protein
265597_at	0.0012617	3.80E-06	-5.76193338	4.400632	1.39781591	AT2G20142	Toll-Interleukin-Resistance domain-containing protein
262188_at	0.0012617	3.83E-06	-5.75929682	4.394055	1.3966578	AT1G77810	"beta-1,3-galactosyltransferase 7"
255342_at	0.0012849	3.96E-06	-5.74708874	4.363593	1.3934557	CRK38	cysteine-rich receptor-like protein kinase 38
254265_s_at	0.0012884	4.04E-06	-5.73897699	4.343347	1.38600099	CRK8///CRK6	cysteine-rich receptor-like protein kinase 8///cysteine-rich receptor-like protein kinase 6
255116_at	0.0012884	4.10E-06	-5.7338208	4.330475	1.38132589	AT4G08850	probable LRR receptor-like serine/threonine-protein kinase
262671_at	0.0012884	4.18E-06	-5.72667967	4.312644	1.37637921	CPK29	calcium-dependent protein kinase 29
248162_at	0.0012884	4.19E-06	-5.72527359	4.309133	1.37288708	FQR1	flavodoxin-like quinone reductase 1
246952_at	0.0013031	4.34E-06	5.71231198	4.276758	1.37001171	OFP13	ovate family protein 13
248132_at	0.0013031	4.38E-06	-5.70870631	4.267749	1.36878805	SGP1	monomeric G protein SGP1
261161_at	0.0013031	4.41E-06	-5.70616544	4.261401	1.36699136	AT1G34420	leucine-rich repeat transmembrane protein kinase-like protein
251643_at	0.0013291	4.56E-06	-5.69396515	4.23091	1.36384908	AGK2	guanylate kinase
261339_at	0.0013677	4.84E-06	-5.67215355	4.176373	1.35613565	AT1G35710	putative leucine-rich repeat receptor-like protein kinase
258947_at	0.0013677	4.91E-06	-5.66659192	4.162461	1.35513472	AT3G01830	putative calcium-binding protein CML40
254869_at	0.0013677	4.94E-06	-5.66423982	4.156577	1.35358128	AT4G11890	receptor-like cytosolic kinase ARCK1
262930_at	0.0013677	4.96E-06	-5.66228315	4.151682	1.35211152	AT1G65690	late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein
265670_s_at	0.0013677	4.99E-06	-5.66005087	4.146097	1.34569116	AT2G32210///AT2G32190	hypothetical protein///hypothetical protein
245976_at	0.0013791	5.15E-06	-5.64872415	4.117753	1.34468296	WRKY75	putative WRKY transcription factor 75
254289_at	0.0013791	5.16E-06	-5.64754165	4.114793	1.33931828	AT4G22980	hypothetical protein
246366_at	0.0013791	5.22E-06	-5.64368522	4.105141	1.33861108	AT1G51850	Leucine-rich repeat protein kinase family protein
249237_at	0.0014336	5.49E-06	-5.62490166	4.05811	1.33802511	AT5G42050	DCD (Development and Cell Death) domain protein
260243_at	0.0014462	5.72E-06	-5.60929589	4.019018	1.33675168	AT1G63720	hypothetical protein
253630_at	0.0014462	5.73E-06	-5.60907573	4.018467	1.33540335	AT4G30490	AFG1-like ATPase family protein
248821_at	0.0014462	5.79E-06	-5.605204	4.008766	1.32853485	AT5G47070	protein kinase family protein
252383_at	0.0014462	5.79E-06	-5.60486836	4.007925	1.32681307	ATH6	ABC transporter A family member 7
255924_at	0.0014621	5.96E-06	5.59387016	3.980362	1.32425048	AT1G22170	phosphoglycerate mutase family protein
246405_at	0.0014621	5.98E-06	-5.59269364	3.977413	1.32325443	AT1G57630	Toll-Interleukin-Resistance domain-containing protein
253377_at	0.0015042	6.31E-06	-5.57276372	3.927444	1.32258486	ADR1-L1	putative disease resistance protein ADR1-like 1
248434_at	0.0015042	6.34E-06	-5.57091683	3.922812	1.31946991	AT5G51440	heat shock protein 23.5
252373_at	0.0015042	6.35E-06	-5.57027879	3.921212	1.31593565	EDS1	enhanced disease susceptibility 1 protein
256012_at	0.0015135	6.46E-06	-5.56411216	3.905745	1.31577303	FMO1	flavin-dependent monooxygenase 1
254349_at	0.0015359	6.64E-06	5.55357926	3.879321	1.3093489	AT4G22250	RING/U-box domain-containing protein
256431_s_at	0.0015359	6.69E-06	-5.55101762	3.872893	1.30609707	RLP53///RLP34	receptor like protein 53///receptor like protein 34
262911_s_at	0.0015414	6.78E-06	-5.5459436	3.86016	1.30160252	AT1G59860///AT1G07400	HSP20-like chaperone///class I heat shock protein
253124_at	0.0015568	6.92E-06	-5.53853209	3.841559	1.30000207	ARO3	armadillo repeat only 3
247290_at	0.0015884	7.13E-06	-5.52739104	3.813592	1.29444233	AT5G64450	hypothetical protein
260581_at	0.0015893	7.24E-06	-5.52161314	3.799085	1.29289983	MYB2	R2R3 MYB DNA binding domain transcription factor
256585_at	0.0015893	7.27E-06	5.51993818	3.794879	1.29246026	AT3G28760	hypothetical protein
255479_at	0.0016101	7.44E-06	-5.51153178	3.773767	1.28807064	SAG21	senescence-associated protein SAG21
266071_at	0.001613	7.56E-06	-5.50533292	3.758197	1.28215034	AT2G18680///AT2G18670	hypothetical protein///RING-H2 finger protein ATL56
249264_s_at	0.001613	7.59E-06	-5.5038368	3.754439	1.28199288	AT5G41750///AT5G41740	TIR-NBS-LRR class disease resistance protein///TIR-NBS-LRR class disease resistance protein
249481_at	0.0018083	8.72E-06	-5.4524725	3.625335	1.28029991	AT5G38900	Thioredoxin superfamily protein
260225_at	0.0018083	8.72E-06	-5.45223385	3.624735	1.27816917	GSTU10	glutathione S-transferase TAU 10
256359_at	0.0018083	8.80E-06	-5.44880426	3.61611	1.27670216	AT1G66460	puttaive serine/threonine protein kinase
253992_at	0.0018083	8.83E-06	-5.44767216	3.613263	1.27646329	AT4G26060	ribosomal protein L18ae family protein
252681_at	0.0019026	9.38E-06	-5.4254243	3.557293	1.27379129	NAC061	putative NAC domain-containing protein 61
264951_at	0.0019119	9.51E-06	-5.42032335	3.544456	1.27336789	AT1G76970	Target of Myb protein 1
253046_at	0.0020482	1.03E-05	-5.39146061	3.4718	1.26962586	CYP81D8	"cytochrome P450, family 81, subfamily D, polypeptide 8"
249221_at	0.0020617	1.04E-05	-5.38576872	3.457467	1.26893931	AT5G42440	protein kinase family protein
250676_at	0.0021024	1.07E-05	-5.37528307	3.431059	1.26345845	NHL3	NDR1/HIN1-Like protein 3
264107_s_at	0.0021569	1.12E-05	-5.35789131	3.387246	1.26054358	SERK5///SERK4	somatic embryogenesis receptor kinase 5///somatic embryogenesis receptor kinase 4
266834_s_at	0.0021569	1.13E-05	-5.35516095	3.380367	1.26016494	AT4G08260///AT3G27140///AT2G30020	putative protein phosphatase 2C 53///putative protein phosphatase 2C-like protein 45///putative protein phosphatase 2C 25
266371_at	0.0021569	1.13E-05	-5.3546206	3.379005	1.25630643	AT2G41410	putative calcium-binding protein CML35
252278_at	0.0021569	1.14E-05	-5.35166041	3.371546	1.25558778	NAC062	transcription factor NTL6
251176_at	0.0021569	1.15E-05	-5.35010565	3.367628	1.25509067	AT3G63380	putative calcium-transporting ATPase 12
261378_at	0.002202	1.18E-05	-5.33937295	3.34058	1.25234887	CDPK1	calcium-dependent protein kinase 1
